,date,state,dataQualityGrade,death,deathConfirmed,deathIncrease,deathProbable,hospitalized,hospitalizedCumulative,hospitalizedCurrently,hospitalizedIncrease,inIcuCumulative,inIcuCurrently,negative,negativeIncrease,negativeTestsAntibody,negativeTestsPeopleAntibody,negativeTestsViral,onVentilatorCumulative,onVentilatorCurrently,pending,positive,positiveCasesViral,positiveIncrease,positiveScore,positiveTestsAntibody,positiveTestsAntigen,positiveTestsPeopleAntibody,positiveTestsPeopleAntigen,positiveTestsViral,recovered,totalTestEncountersViral,totalTestEncountersViralIncrease,totalTestResults,totalTestResultsIncrease,totalTestsAntibody,totalTestsAntigen,totalTestsPeopleAntibody,totalTestsPeopleAntigen,totalTestsPeopleViral,totalTestsPeopleViralIncrease,totalTestsViral,totalTestsViralIncrease
0,2020-10-24,AK,A,68.0,68.0,0,,,,58.0,0,,,539585.0,0,,,540786.0,,8.0,,13535.0,13535.0,374,0,,,,,11644.0,6939.0,,0,552746.0,0,,,,,,0,552746.0,0
1,2020-10-24,AL,A,2866.0,2680.0,7,186.0,19595.0,19595.0,920.0,0,2021.0,,1138922.0,5064,,,,1157.0,,,183276.0,156946.0,2360,0,,,,,,74439.0,,0,1295868.0,6095,,,63359.0,,,0,1295868.0,6095
2,2020-10-24,AR,A+,1797.0,1640.0,15,157.0,6707.0,6707.0,606.0,29,,242.0,1181805.0,11643,,,1181805.0,808.0,94.0,,105318.0,98213.0,1183,0,,3300.0,,7891.0,,93977.0,,0,1280018.0,12517,,21856.0,,46505.0,,0,1280018.0,12517
3,2020-10-24,AS,D,0.0,,0,,,,,0,,,1616.0,0,,,,,,,0.0,0.0,0,0,,,,,,,,0,1616.0,0,,,,,,0,1616.0,0
4,2020-10-24,AZ,A+,5869.0,5581.0,4,288.0,21043.0,21043.0,819.0,76,,191.0,1462194.0,11213,,,,,87.0,,236772.0,231355.0,890,0,,,,,,39525.0,,0,1693549.0,12080,312232.0,,,,1693549.0,12080,,0
5,2020-10-24,CA,B,17311.0,,49,,,,3007.0,0,,744.0,16716369.0,119941,,,,,,,892810.0,892810.0,5945,0,,,,,,,,0,17609179.0,125886,,,,,,0,17609179.0,125886
6,2020-10-24,CO,A,2076.0,,6,,8557.0,8557.0,550.0,79,,,1039329.0,9351,166491.0,,,,,,91572.0,85080.0,1350,0,12741.0,,,,,7463.0,1790404.0,25756,1790404.0,25756,179232.0,,,,1124409.0,10610,,0
7,2020-10-24,CT,B,4577.0,3674.0,0,903.0,12257.0,12257.0,233.0,0,,,2049692.0,0,,,,,,,66052.0,63376.0,0,0,,,,,,9800.0,,0,2115744.0,0,,,,,,0,2113068.0,0
8,2020-10-24,DC,A+,642.0,,0,,,,93.0,0,,21.0,474847.0,5703,,,,,6.0,,16706.0,,97,0,,,,,,13068.0,491553.0,5800,491553.0,5800,,,,,248189.0,1562,,0
9,2020-10-24,DE,A+,680.0,599.0,2,81.0,,,103.0,0,,22.0,313429.0,2004,,,,,,,23847.0,22724.0,160,0,,,,,,12610.0,,0,337276.0,2164,,,,,337276.0,2164,527840.0,5228
10,2020-10-24,FL,A,16620.0,16620.0,76,,48684.0,48684.0,2162.0,174,,,5161810.0,67838,487730.0,475588.0,7575340.0,,,4522.0,776251.0,746960.0,4471,0,51923.0,,50676.0,,998106.0,,,0,5938061.0,72309,539844.0,,526404.0,,5945372.0,72331,8618680.0,96036
11,2020-10-24,GA,A,7808.0,,42,,31046.0,31046.0,1684.0,97,5822.0,,3076505.0,16641,,,3099220.0,,,,349605.0,349605.0,1846,0,28865.0,,,,326890.0,,,0,3426110.0,18487,324963.0,,,,,0,3426110.0,18487
12,2020-10-24,GU,A,71.0,,2,,,,77.0,0,,17.0,59065.0,300,,,,,6.0,,4175.0,4155.0,34,0,6.0,20.0,,,,2503.0,,0,63240.0,334,203.0,290.0,,,63220.0,334,62614.0,0
13,2020-10-24,HI,B,209.0,,3,,1057.0,1057.0,71.0,12,,18.0,295153.0,0,,,,,11.0,,14669.0,14464.0,140,0,,,,,14409.0,11292.0,496293.0,4843,496293.0,4843,,,,,308090.0,0,,0
14,2020-10-24,IA,A+,1631.0,,11,,,,545.0,0,,130.0,750905.0,4830,,61848.0,,,49.0,,108514.0,108514.0,1640,0,,,3766.0,6117.0,,87463.0,,0,859419.0,6470,,,65653.0,71378.0,861067.0,6468,,0
